city;line_number;line_name;color;station;is_closed
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Девяткино;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Гражданский проспект;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Академическая;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Политехническая;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Площадь Мужества;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Лесная;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Выборгская;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Площадь Ленина;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Чернышевская;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Площадь Восстания;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Владимирская;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Пушкинская;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Технологический институт;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Балтийская;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Нарвская;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Кировский завод;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Автово;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Ленинский проспект;1
Санкт-Петербург;1;Кировско-Выборгская;#D6083B;Проспект Ветеранов;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Парнас;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Проспект Просвещения;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Озерки;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Удельная;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Пионерская;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Чёрная речка;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Петроградская;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Горьковская;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Невский проспект;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Сенная площадь;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Технологический институт ;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Фрунзенская;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Московские ворота;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Электросила;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Парк Победы;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Московская;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Звёздная;1
Санкт-Петербург;2;Московско-Петроградская;#0078C9;Купчино;1
Санкт-Петербург;3;Невско-Василеостровская;#009A49;Беговая;1
Санкт-Петербург;3;Невско-Василеостровская;#009A49;Зенит;1
Санкт-Петербург;3;Невско-Василеостровская;#009A49;Приморская;1
Санкт-Петербург;3;Невско-Василеостровская;#009A49;Василеостровская;1
Санкт-Петербург;3;Невско-Василеостровская;#009A49;Гостиный двор;1
Санкт-Петербург;3;Невско-Василеостровская;#009A49;Маяковская;1
Санкт-Петербург;3;Невско-Василеостровская;#009A49;Площадь Александра;1
Санкт-Петербург;3;Невско-Василеостровская;#009A49;Невского;1
Санкт-Петербург;3;Невско-Василеостровская;#009A49;Елизаровская;1
Санкт-Петербург;3;Невско-Василеостровская;#009A49;Ломоносовская;1
Санкт-Петербург;3;Невско-Василеостровская;#009A49;Пролетарская;1
Санкт-Петербург;3;Невско-Василеостровская;#009A49;Обухово;1
Санкт-Петербург;3;Невско-Василеостровская;#009A49;Рыбацкое;1
Санкт-Петербург;4;Правобережная;#EA7125;Горный институт;1
Санкт-Петербург;4;Правобережная;#EA7125;Театральная;1
Санкт-Петербург;4;Правобережная;#EA7125;Спасская;1
Санкт-Петербург;4;Правобережная;#EA7125;Достоевская;1
Санкт-Петербург;4;Правобережная;#EA7125;Лиговский проспект;1
Санкт-Петербург;4;Правобережная;#EA7125;Площадь Александра;1
Санкт-Петербург;4;Правобережная;#EA7125;Невского;1
Санкт-Петербург;4;Правобережная;#EA7125;Новочеркасская;1
Санкт-Петербург;4;Правобережная;#EA7125;Ладожская;1
Санкт-Петербург;4;Правобережная;#EA7125;Проспект Большевиков;1
Санкт-Петербург;4;Правобережная;#EA7125;Улица Дыбенко;1
Санкт-Петербург;4;Правобережная;#EA7125;Кудрово;1
Санкт-Петербург;5;Фрунзенско-Приморская;#702785;Комендантский проспект;1
Санкт-Петербург;5;Фрунзенско-Приморская;#702785;Старая Деревня;1
Санкт-Петербург;5;Фрунзенско-Приморская;#702785;Крестовский остров;1
Санкт-Петербург;5;Фрунзенско-Приморская;#702785;Чкаловская;1
Санкт-Петербург;5;Фрунзенско-Приморская;#702785;Спортивная;1
Санкт-Петербург;5;Фрунзенско-Приморская;#702785;Адмиралтейская;1
Санкт-Петербург;5;Фрунзенско-Приморская;#702785;Садовая;1
Санкт-Петербург;5;Фрунзенско-Приморская;#702785;Звенигородская;1
Санкт-Петербург;5;Фрунзенско-Приморская;#702785;Обводный канал;1
Санкт-Петербург;5;Фрунзенско-Приморская;#702785;Волковская;1
Санкт-Петербург;5;Фрунзенско-Приморская;#702785;Бухарестская;1
Санкт-Петербург;5;Фрунзенско-Приморская;#702785;Международная;1
Санкт-Петербург;5;Фрунзенско-Приморская;#702785;Проспект Славы;1
Санкт-Петербург;5;Фрунзенско-Приморская;#702785;Дунайская;1
Санкт-Петербург;5;Фрунзенско-Приморская;#702785;Шушары;1
Москва;1;Сокольническая;#EF161E;Бульвар Рокоссовского;1
Москва;1;Сокольническая;#EF161E;Черкизовская;1
Москва;1;Сокольническая;#EF161E;Преображенская площадь;1
Москва;1;Сокольническая;#EF161E;Сокольники;1
Москва;1;Сокольническая;#EF161E;Красносельская;1
Москва;1;Сокольническая;#EF161E;Комсомольская;1
Москва;1;Сокольническая;#EF161E;Красные Ворота;1
Москва;1;Сокольническая;#EF161E;Чистые пруды;1
Москва;1;Сокольническая;#EF161E;Лубянка;1
Москва;1;Сокольническая;#EF161E;Охотный Ряд;1
Москва;1;Сокольническая;#EF161E;Библиотека имени Ленина;1
Москва;1;Сокольническая;#EF161E;Кропоткинская;1
Москва;1;Сокольническая;#EF161E;Парк культуры;1
Москва;1;Сокольническая;#EF161E;Фрунзенская;1
Москва;1;Сокольническая;#EF161E;Спортивная;1
